strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,17,0.22034
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,18,0.189918
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,19,0.212162
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,20,0.20896
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,21,0.206255
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,22,0.16488
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,23,0.147611
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,24,0.144617
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,25,0.184579
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,26,0.157166
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,27,0.12531
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,28,0.126491
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,29,0.116917
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,30,0.127277
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,31,0.108451
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,32,0.110173
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,33,0.128985
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,34,0.13068
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,35,0.117181
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,36,0.110403
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,37,0.108873
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,38,0.098982
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,39,0.10668
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,40,0.107712
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,41,0.097057
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,42,0.112318
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,43,0.116342
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,44,0.121267
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,45,0.139268
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,46,0.097422
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,47,0.11971
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,48,0.111111
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,49,0.128313
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,50,0.108022
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,51,0.099413
